KEY,English,SChinese,TChinese,Japanese
LKCancerInfo,"In Greek mythology, Cancer is identified with the crab that appeared while Hercules was fighting the many-headed Hydra. The crab bit Hercules on the foot, Hercules crushed it and then the goddess Hera, a sworn enemy of Hercules, placed the crab among the stars.","巨蟹座位于双子座和狮子座之间, 其北面是天猫座，南面则是小犬座和长蛇座。在希腊神话中，当宙斯的私生子海格力斯迎战勒拿湖的九头大蛇（长蛇座）时，海格力斯的死敌赫拉派出巨蟹从沼泽窜出并偷偷攻击海格力斯的脚，海格力斯一怒之下将其踩成碎片。事后赫拉拾起巨蟹，升上天空，成为巨蟹座。","巨蟹座位於雙子座和獅子座之間, 其北面是天貓座，南面則是小犬座和長蛇座。在希臘神話中，當宙斯的私生子海格力斯迎戰勒拿湖的九頭大蛇（長蛇座）時，海格力斯的死敵赫拉派出巨蟹從沼澤竄出並偷偷攻擊海格力斯的腳，海格力斯一怒之下將其踩成碎片。事後赫拉拾起巨蟹，升上天空，成為巨蟹座。",ゼウスの子勇者ヘラクレスは、ヒュドラーの退治である。化け蟹カルキノスは、最初はヘラクレスとヒュドラの戦いを見ていた。次第に、飛び出してヘラクレスの足を挟んだ。しかし、ヘラクレスは振り払い踏みつぶした。一部始終を見ていた女神ヘラは、カルキノスを哀れに思って、天に上げて星にした。
LKCapricornusTitle,Capricornus,摩羯座,摩羯座,やぎ座
LKCapricornusLatin,the Sea Goat,Capricornus,Capricornus,Capricornus
LKCapricornusInfo,"In Greek mythology, Capricornus is sometimes identified as Amalthea, the goat that suckled the infant Zeus after his mother, Rhea, saved him from being devoured by his father, Cronos. The goat's broken horn was transformed into the cornucopia or horn of plenty. Capricornus is also sometimes identified as Pan, the god with a goat's head, who saved himself from the monster Typhon by giving himself a fish's tail and diving into a river.",希腊神话中，有一位长有山羊角、羊蹄和山羊胡子的神，潘恩。一次，潘恩在尼罗河畔参加诸神的宴会，并在宴会上为诸神演奏，不料演奏中，他的笛声居然将上古时代的怪物引来了。此时诸神纷纷化身逃走，而潘恩在慌张中跳入尼罗河，想化身为鱼逃走，不过由于他实在是太匆忙了，以致于变身并不完全，结果泡在水中的下半身变成了鱼的尾巴，而上半身仍维持原有的山羊模样。宙斯在天界看到之后，便将这半羊半鱼的样子化做天上的星座。,希臘神話中，有一位長有山羊角、羊蹄和山羊胡子的神，潘恩。一次，潘恩在尼羅河畔參加諸神的宴會，並在宴會上為諸神演奏，不料演奏中，他的笛聲居然將上古時代的怪物引來了。此時諸神紛紛化身逃走，而潘恩在慌張中跳入尼羅河，想化身為魚逃走，不過由於他實在是太匆忙了，以致於變身並不完全，結果泡在水中的下半身變成了魚的尾巴，而上半身仍維持原有的山羊模樣。宙斯在天界看到之後，便將這半羊半魚的樣子化做天上的星座。,一般の説では、神々がナイル川沿いで宴会を開いていたところ、突然、怪物テューポーンが現れ、驚いた神々は動物に姿を変えて逃げた。ヤギ頭の牧神アイギパーンはナイル川に飛び込んだところ下半身だけが魚になり、その姿が大神ゼウスによって星座とされた。この神話から、ヨーロッパでは、角のある海ヤギという想像上の動物とされることが多い。
LKGeminiTitle,Gemini,双子座,雙子座,ふたご座
LKGeminiLatin,"the Twins, Castor & Pollux",Gemini,Gemini,Gemini
LKGeminiInfo,"In Greek mythology, Gemini was associated with the myth of Castor and Pollux, the children of Leda and Argonauts both. Castor and Pollux were also mythologically associated with St. Elmo's fire in their role as the protectors of sailors. When Castor died, because he was mortal, Pollux begged his father Zeus to give Castor immortality, and he did, by uniting them together in the heavens.",双子座代表的是希腊神话中天神宙斯与斯巴达王后勒达所生的孪生子，卡斯托耳和波鲁克斯（合称狄俄斯库里兄弟），两人一生充满无数的英雄壮举。但他们因与伊达斯和林叩斯分配战利品时产生矛盾，而互相反目成仇并发起决斗，结果林叩斯被卡斯托耳杀死，卡斯托耳被伊达斯杀死，伊达斯又被波鲁克斯杀死。波鲁克斯向宙斯哀求，如果能让卡斯托耳复活，他宁愿放弃自己的不死之身。于是宙斯将他们提升到天界，成为双子座。,雙子座代表的是希臘神話中天神宙斯與斯巴達王後勒達所生的孿生子，卡斯托耳和波魯克斯（合稱狄俄斯庫裏兄弟），兩人一生充滿無數的英雄壯舉。但他們因與伊達斯和林叩斯分配戰利品時產生矛盾，而互相反目成仇並展開決鬥，結果林叩斯被卡斯托耳殺死，卡斯托耳被伊達斯殺死，伊達斯又被波魯克斯殺死。波魯克斯向宙斯哀求，如果能讓卡斯托耳復活，他寧願放棄自己的不死之身。於是宙斯將他們提升到天界，成為雙子座。,ギリシア神話の双子ディオスクーロイが星座になったといわれる。この双子は、弟がポリュデウケース、兄はカストールだった。ポリュデウケースは神であり不死だったが、カストールは人間で、死ぬ運命にあった。ポリュデウケースはさらに上位の神に頼み、自分の不死性を兄に半分分け与えた。このため、双子は、1年の半分は神として天の上で過ごし、残りの半分は地上で人間として今も楽しく暮らしている。
LKLeoTitle,Leo,狮子座,獅子座,しし座
LKLeoLatin,the Lion,Leo,Leo,Leo
LKLeoInfo,"In Greek mythology, Leo was identified as the Nemean Lion which was killed by Heracles during the first of his twelve labours.The Nemean Lion was impervious to any weaponry. Hercules realized that he must defeat the Lion with his bare hands, Hercules slipped into the Lion's cave and engaged it at close quarters. Zeus commemorated this labor by placing the Lion in the sky.",希腊神话中，赫拉克勒斯在十二年中完成了十二项英勇业绩，其中有一项任务就是要杀死涅墨亚狮子。涅墨亚狮子是半人半蛇的妖怪厄喀德娜生下的，到处吞食生灵，并且刀枪不入。赫拉克勒斯和狮子肉搏，最后竟徒手将狮子活活掐死。之后赫拉克勒斯将狮头戴在头上作为头盔，又剥下狮子的皮并披在身上作为盔甲。后来宙斯为了纪念赫拉克勒斯的丰功伟绩，将被他杀死的涅墨亚狮子升到空中，变成了狮子座。,希臘神話中，赫拉克勒斯在十二年中完成了十二項英勇業績，其中有一項任務就是要殺死涅墨亞獅子。涅墨亞獅子是半人半蛇的妖怪厄喀德娜生下的，到處吞食生靈，並且刀槍不入。赫拉克勒斯和獅子肉搏，最後竟徒手將獅子活活掐死。之後赫拉克勒斯將獅頭戴在頭上作為頭盔，又剝下獅子的皮並披在身上作為盔甲。後來宙斯為了紀念赫拉克勒斯的豐功偉績，將被他殺死的涅墨亞獅子升到空中，變成了獅子座。,12の冒険を行うことになった勇者ヘーラクレース（ヘルクレス座）の最初の冒険は、ネメアの谷の化け物ライオン（ネメアーの獅子）の退治であった。ヘラクレスは最初弓を使ったが利かず、棍棒で叩いたのちに首を絞めて殺した。なお古代には南東ヨーロッパに広くライオンが生息していた。
LKLibraTitle,Libra,天秤座,天秤座,てんびん座
LKLibraLatin,the Balance,Libra,Libra,Libra
LKLibraInfo,"Libra is a constellation not mentioned by Eudoxus or Aratus. Libra is mentioned by Manetho (3rd century B.C.) and Geminus (1st century B.C.), and included by Ptolemy in his 48 asterisms. Ptolemy catalogued 17 stars, Tycho Brahe 10, and Johannes Hevelius 20. It only became a constellation in ancient Rome, when it began to represent the scales held by Astraea, the goddess of justice, associated with Virgo.",天秤座是希腊神话中正义女神阿斯特莉亚在为人类做善恶裁判时所用的天平，阿斯特莉亚一手持天平，一手握斩除邪恶的剑，且蒙住双眼以求裁决公正。从前的众神和人类和平共处于大地上，然而那时的人好争斗，恶业横行，众神对人类失望而回到天上。只有阿斯特莉亚女神舍不得回去而留在人间教人为善。尽管如此，人类仍继续堕落，最后连阿斯特莉亚也不得不放弃人类而回到神界。于是天空中就高挂着钟爱正义和平公正的天秤座。,天秤座是希臘神話中正義女神阿斯特莉亞在為人類做善惡裁判時所用的天平，阿斯特莉亞一只手持天平，一只手握斬除邪惡的劍，且蒙住雙眼以求裁決公正。從前的眾神和人類和平共處於大地上，然而那時的人好爭鬥，惡業橫行，眾神對人類失望而回到天上。只有阿斯特莉亞女神舍不得回去而留在人間教人為善。盡管如此，人類仍繼續墮落，最後連阿斯特莉亞也不得不放棄人類而回到神界。於是天空就高掛著鐘愛正義和平公正的天秤座。,元々はさそり座のはさみの部分であったとも考えられている。後に星座として独立した。このため、黄道十二星座の中では最も新しいものと考えられている。ギリシア神話では、正義と天文の女神アストライアーの所有物で、正義を計る天秤だとされる。かつては秋分点がこの星座にあったので、昼夜の長さを等しく計る天秤だったという説もある。なお隣の星座であるおとめ座はアストライアーをかたどったものとする説がある。
LKOphiuchusTitle,Ophiuchus,蛇夫座,蛇夫座,へびつかい座
LKOphiuchusLatin,the Serpent-Bearer,Ophiuchus,Ophiuchus,Ophiuchus
LKOphiuchusInfo,"According to Roman era mythography, Ophiuchus represents the healer Asclepius, who learned the secrets of keeping death at bay after observing one serpent bringing another healing herbs. To prevent the entire human race from becoming immortal under Asclepius' care, Jupiter killed him with a bolt of lightning, but later placed his image in the heavens to honor his good works.",在希腊神话中，阿斯克勒庇俄斯是人马喀戎的学生。喀戎将自己掌握的医学知识毫无保留的传授给他。这激怒了冥王哈得斯。于是在阿斯克勒庇俄斯使俄里翁复苏时（参见猎户座神话），哈得斯让宙斯用雷劈死了阿斯克勒庇俄斯和俄里翁。由于阿斯克勒庇俄斯是著名的医者，手中拥有阿斯克勒庇俄斯之杖，杖上卷有一条灵蛇，以其蜕皮重生象征医学的治疗概念，因此阿斯克勒庇俄斯死后宙斯将其变为蛇夫座。,在希臘神話中，阿斯克勒庇俄斯是人馬喀戎的學生。喀戎將自己掌握的醫學知識毫無保留的傳授給他。這激怒了冥王哈得斯，於是在阿斯克勒庇俄斯使俄裏翁復蘇時（參見獵戶座神話），讓宙斯用雷劈死了阿斯克勒庇俄斯和俄裏翁。由於阿斯克勒庇俄斯是著名的醫者，手中擁有阿斯克勒庇俄斯之杖，杖上卷有一條靈蛇，以其蛻皮重生象征醫學的治療概念，因此阿斯克勒庇俄斯死後宙斯將其變為蛇夫座。,へびつかいは、立派な医師アスクレーピオスになった。蛇を持っているのは、蛇によって薬草の効用を知ったアスクレーピオスが自分のシンボルにしたからだという。アスクレーピオスはアルゴー船（アルゴ座）にも乗船し、名医として名高かったが、ついには死者をも蘇らせることができるようになり、冥神ハーデースの怒りを買ったため、大神ゼウスの雷によって打ち殺された。その後、医師としての功績が称えられ星座（へびつかい座）となった[1]。
LKPiscesTitle,Pisces,双鱼座,雙魚座,うお座
LKPiscesLatin,the Fishes,Pisces,Pisces,Pisces
LKPiscesInfo,"Pisces is associated with Aphrodite and Eros, who escaped from the monster Typhon by leaping into the sea and transforming themselves into fish. In order not to lose each other, they tied themselves together with rope. The Romans adopted the Greek legend, with Venus and Cupid acting as the counterparts for Aphrodite and Eros.",希腊神话中双鱼座代表的是阿佛洛狄忒和厄洛斯在水中的化身。阿佛洛狄忒为了逃避大地女神盖亚之子巨神提丰攻击而变成鱼躲在尼罗河（一说幼发拉底河）。之后她发现忘记带上自己的儿子厄洛斯一起逃走，于是又上岸找到厄洛斯。为防止与儿子失散，她将两人脚绑在一起，随后两人化为鱼形，潜进河中。事后宙斯将阿佛洛狄忒首先化身的鱼提升到空中成为南鱼座，而她和厄洛斯化身的绑在一起的两条鱼则称为双鱼座。,希臘神話中雙魚座代表的是阿佛洛狄忒和厄洛斯在水中的化身。阿佛洛狄忒為了逃避大地女神蓋亞之子巨神提豐攻擊而變成魚躲在尼羅河（一說幼發拉底河）。之後她發現忘記帶上自己的兒子厄洛斯一起逃走，於是又上岸找到厄洛斯。為防止與兒子失散，她將兩人腳綁在一起，隨後兩人化為魚形，潛進河中。事後宙斯將阿佛洛狄忒首先化身的魚提升到空中成為南魚座，而她和厄洛斯化身的綁在一起的兩條魚則稱為雙魚座。,ギリシアでは、美の女神アプロディーテーにまつわる神話が伝えられている。ヘシオドスによると、アプロディーテーとその子エロースがユーフラテス川のそばを歩いていたところ、突然、怪物テュポンが現れた。驚いた2人はニンフに助けを求めて川に飛び込んだ。ある神話では2匹の魚が彼女らを背負って避難させたとし、また他の神話では女神たち自身が魚の形になって逃げたとしている。
LKSagittariusTitle,Sagittarius,射手座,人馬座,いて座
LKSagittariusLatin,the Archer,Sagittarius,Sagittarius,Sagittarius
LKSagittariusInfo,"In Greek mythology, Sagittarius is usually identified as a centaur: half human, half horse. However, perhaps due to the Greek's adoption of the Sumerian constellation, some confusion surrounds the identity of the archer. An alternative tradition is that Chiron merely invented the constellation Sagittarius to help in guiding the Argonauts in their quest for the Golden Fleece.",天神宙斯的父亲克罗诺斯与甯芙生下的孩子叫奇伦，他是半人半马的神，天性善良又充满智慧，不像其他的人马般地凶暴残忍。奇伦原是不死之身，但因为大力士赫拉克勒斯正和人马族争斗，奇伦在混乱中误踩了赫拉克勒斯在先前射杀九头蛇时沾了毒血的箭，进而不幸中剧毒，由于无药可救，却又痛苦万分的奇伦便把不死之身给了普罗米修斯这位盗取天火给人类的神之后，就死去了。宙斯知道这件事之后非常伤心，便将奇伦升上星空成为射手座。,天神宙斯的父親克羅諾斯與寧芙生下的孩子叫奇倫，他是半人半馬的神，天性善良又充滿智慧，不像其他的人馬般地兇暴殘忍。奇倫原是不死之身，但因為大力士赫拉克勒斯正和人馬族爭鬥，奇倫在混亂中誤踩了赫拉克勒斯在先前射殺九頭蛇時沾了毒血的箭，進而不幸中劇毒，由於無藥可救，卻又痛苦萬分的奇倫便把不死之身給了普羅米修斯這位盜取天火給人類的神之後，就死去了。宙斯知道這件事之後非常傷心，便將奇倫升上星空成為人馬座。,いて座は、アルテミスから狩猟を学んだケンタウロスであるケイローンが弓を引く姿で親しまれている。ヘーラクレースが誤って放った毒矢が当たり、苦痛のためゼウスに死を願って聞き入れられ、彼の死を悼んで天に上げられて星座となったとする話が定説となっている。勇者オーリーオーンを刺し殺し、その功績で星座とされたさそりが、天上で暴れたときのために、いて座の弓は常にひかれたままであると解釈されている。
LKScorpiusTitle,Scorpius,天蝎座,天蠍座,さそり座
LKScorpiusLatin,the Scorpion,Scorpius,Scorpius,Scorpius
LKScorpiusInfo,"In?Greek mythology, Orion boasted to goddess?Artemis?and her mother,?Leto. So Artemis and her mother Leto sent a scorpion to deal with Orion. The pair battled and the scorpion killed Orion. After Orion was killed,?Zeus later raised the scorpion to heaven and afterwards, at the request of Artemis, did the same for Orion. Every winter Orion hunts in the sky, but every summer he flees as the constellation of the scorpion comes.",天蝎座位于天秤座与人马座之间，为黄道十二宫第八星座。希腊神话中，天蝎座是赫拉克勒斯在山涧中杀死的一只大毒蝎子。还有神话故事提到，猎人俄里翁过于傲慢，夸口说天下没有一个动物是他的对手，天后赫拉就派毒蝎子咬伤了他的脚，使他中毒而死。所以它们到了天上以后也互相为敌，远居天空的两边，每当天蝎座从东方地平线上升起时，猎户俄里翁便从西方匆匆离去。,天蠍座位於天秤座與人馬座之間，為黃道十二宮第八星座。希臘神話中，天蠍座是赫拉克勒斯在山澗中殺死的一只大毒蠍子。還有神話故事提到，獵人俄裏翁過於傲慢，誇口說天下沒有一個動物是他的對手，天後赫拉就派毒蠍子咬傷了他的腳，使他中毒而死。所以它們到了天上以後也互相為敵，遠居天空的兩邊，每當天蠍座從東方地平線上升起時，獵戶俄裏翁便從西方匆匆離去。,さそり座に伝わるギリシア神話は、英雄オリオンの傲慢さに怒った女神ヘラは、さそりを地上に送り、その毒針でオリオンを殺した。この功を讃えられ、さそりは天に昇り星座になった。 一方、殺されたオリオンを憐れんだ女神アルテミスはゼウスに頼み、オリオンも天に上がり星座となった。 ただ今でもオリオンはさそりを恐れて、東の空からさそり座が現れるとオリオン座は西の地平線に逃げ隠れ、さそり座が西の地平線に沈むとオリオン座は安心して東の空へ昇ってくるという
LKTaurusTitle,Taurus,金牛座,金牛座,おうし座
LKTaurusLatin,the Bull,Taurus,Taurus,Taurus
LKTaurusInfo,"In Greek mythology, Taurus was identified with Zeus, who assumed the form of a magnificent white bull to abduct Europa, a legendary Phoenician princess. In illustrations of Greek mythology, only the front portion of this constellation are depicted; this was sometimes explained as Taurus being partly submerged as he carried Europa out to sea. ",金牛座是众神之神宙斯的化身。传说宙斯觊觎阿戈诺尔之女欧罗巴的美色，宙斯就化身为一只白牛混在牛群中，乘机靠近嬉戏中的欧罗巴。白牛一直载着欧罗巴渡过海洋，在克里特岛上登陆。而宙斯为了纪念此事，在天上以金牛座代表其化身的白牛，并以欧罗巴的名字来命名他们邂逅的大陆——欧罗巴洲，也就是今日的欧洲。星图中只显示白牛的上半身，因为下半身浸在水中，并不可见。,金牛座是眾神之神宙斯的化身。傳說宙斯覬覦阿戈諾爾之女歐羅巴的美色，宙斯就化身為一只白牛混在牛群中，乘機靠近嬉戲中的歐羅巴。白牛一直載著歐羅巴渡過海洋，在克裏特島上登陸。而宙斯為了紀念此事，在天上以金牛座代表其化身的白牛，並以歐羅巴的名字來命名他們邂逅的大陸——歐羅巴洲，也就是今日的歐洲。星圖中只顯示白牛的上半身，因為下半身浸在水中，並不可見。,古代オリエントでの、繁栄と富の象徴としての牛信仰に由来するとされる。紀元前4千年紀には「天の牡牛」「アヌの牡牛」と呼ばれるようになった。ギリシャ神話では、ゼウスがニンフの（一説では人間の王女）エウローペーに恋をした。ゼウスは誰にも分からぬよう、牡牛に化けてエウローペーに近づいた。ゼウスは正体を明かし、2人はクレタ島に行って子をもうけた。
LKVirgoTitle,Virgo,处女座,室女座,おとめ座
LKVirgoLatin,the Virgin,Virgo,Virgo,Virgo
LKVirgoInfo,"The Greeks and Romans associated Virgo with their goddess of wheat/agriculture, Demeter-Ceres who is the mother of Persephone-Proserpina. Alternatively, she was sometimes identified as the virgin goddess Iustitia or Astraea, holding the scales of justice in her hand as the constellation Libra. ",处女座是希腊正义女神阿斯特莉亚的象征，亦为农业女神。在神话中，处女座是大地女神得墨忒耳的化身，也有说是其女儿珀耳塞福涅的化身。圣经记载的掌管生产的邪神亚斯他录可能就是指她。另有一说，处女座代表的是正义女神阿斯特莉亚，在对人类感到失望后回到天上变成处女座,室女座是希腊正义女神阿斯特莉亚的象征，亦为农业女神。在神话中，室女座是大地女神得墨忒耳的化身，也有说是其女儿珀耳塞福涅的化身。圣经记载的掌管生产的邪神亚斯他录可能就是指她。另有一说，室女座代表的是正义女神阿斯特莉亚，在对人类感到失望后回到天上变成室女座,昔、人間が仲良く暮らしていた時代は、神もまた地上で人間と仲良く暮らしていた。しかし後に現れた人間たちは争ってばかりだったので、神は1人ずつ天に帰っていった。最後まで残ったのが正義と天文の女神アストライアーで、1人地上に残り、人間に正義を教えていたが、彼女も人間に失望し、自ら天に昇っておとめ座となり、持っている天秤はてんびん座となった[1]。
LKBootesTitle,Bootes,牧夫座,牧夫座,うしかい座
LKBootesLatin,the Herdsman,Bo?tes,Bo?tes,Bo?tes
LKBootesInfo,"Bootes is identified with Arcas , son of Zeus and Callisto. Arcas was brought up by his maternal grandfather Lycaon. Callisto had been transformed into a she-bear, by Zeus's wife, Hera, who was angry at Zeus's infidelity. Callisto in form of a bear was almost killed by her son who was out hunting. Zeus rescued her, taking her into the sky where she became Ursa Major, ""the Great Bear"", and making Arcas as Bootes.",传说，宙斯垂涎卡莉斯托的美色，对其施暴，后来卡莉斯托诞下儿子Arcas，宙斯之妻赫拉要惩罚卡莉斯托勾搭其夫，扠著卡莉斯托之颈按她在地，把她变为一只黑熊。十五年来卡莉斯托一直隐居森林，有一天，她重遇儿子Arcas，可是Arcas并不知道眼前的黑熊就是其生母，准备举矛自卫。电光火石间，宙斯以一阵旋风卷他们上天，卡莉斯托变成大熊座，而Arcas则变成牧夫座。,傳說，宙斯垂涎卡莉斯托的美色，對其施暴，後來卡莉斯托誕下兒子Arcas，宙斯之妻赫拉要懲罰卡莉斯托勾搭其夫，扠著卡莉斯托之頸按她在地，把她變為一只黑熊。十五年來卡莉斯托一直隱居森林，有一天，她重遇兒子Arcas，可是Arcas並不知道眼前的黑熊就是其生母，準備舉矛自衛。電光火石間，宙斯以一陣旋風卷他們上天，卡莉斯托變成大熊座，而Arcas則變成牧夫座。,一説には、ギリシア神話に登場する天を支える巨人アトラスであるという。また別の説では、ディオニューソスからブドウとブドウ酒の製法を教わったアッティカの王イーカリオスであるという。その他、兄弟によって財産を奪われて追放され、世界中をさまよった男という説もある。この男は2頭の雄牛でひく鋤を発明したと伝わっている。メソポタミア文明以前の羊飼いが考案した現存する最古の星座だという説もある。
LKCamelopardalisTitle,Camelopardalis,鹿豹座,鹿豹座,きりん座
LKCamelopardalisLatin,the Giraffe,Camelopardalis,Camelopardalis,Camelopardalis
LKCamelopardalisInfo,"Camelopardalis was created by Petrus Plancius in 1613 to represent the animal Rebecca rode to marry Isaac in the Bible. One year later, Jakob Bartsch featured it in his atlas. Johannes Hevelius gave it the official name of ""Camelopardus"" or ""Camelopardalis"" because he saw the constellation's many faint stars as the spots of a giraffe.",鹿豹座，是北天球一大片昏暗的星群，1612年（或1613年）始由普朗修斯（Plancius）定义星座。因这个天区没有高于四等的光星，因此一直被希腊人所忽略。1613年（或1613年），荷籍神学家Petrus Plancius以骆驼代表此天区，它是圣经中利百加进入迦南地嫁予以撒的座骑。,鹿豹座，是北天球一大片昏暗的星群，1612年（或1613年）始由普朗修斯（Plancius）定義星座。因這個天區沒有高於四等的光星，因此一直被希臘人所忽略。1613年（或1613年），荷籍神學家Petrus Plancius以駱駝代表此天區，它是聖經中利百加進入迦南地嫁予以撒的座騎。,"設定者はペトルス?プランシウス、一般にはバルチウス星座の1つとされている。1612年にペトルス?プランシウスが""Camelopardalis""として天球儀に描いたのが最初である。その後、ヤコブス?バルチウスが、旧約聖書の創世記でリベカがイサクの元へ嫁ぐエピソードに登場するラクダを記念したもの、と説明したため、一時期「らくだ座」と呼ばれた。"
LKCanesVenaticiTitle,Canes Venatici,猎犬座,獵犬座,りょうけん座
LKCanesVenaticiLatin,the Hunting Dogs,Canes Venatici,Canes Venatici,Canes Venatici
LKCanesVenaticiInfo,"Canes Venatici is one of the 88 official modern constellations. It is a small northern constellation that was created by Johannes Hevelius in the 17th century. Its name is Latin for ""hunting dogs"", and the constellation is often depicted in illustrations as representing the dogs of Bo?tes the Herdsman, a neighboring constellation.",猎犬座是北天的一个小星座，17世纪由波兰天文学家波兰天学家约翰·赫维留（Johannes Hevelius）创立。在古代希腊文献中，猎犬座的星被描绘为牧夫扛的棒子。后来被阿拉伯人翻译为钩子，或牧人的带钩牧杖。再翻译到西欧文字误成了狗，最终被赫维留定成一个独立的星座。猎犬座包含中国古代的星座“常陈”。《晋书·天文志》记载：“常陈七星如毕状，在帝座北，天子宿卫武贲之士，以设疆御。”,獵犬座是北天的一個小星座，17世紀由波蘭天文學家波蘭天學家約翰·赫維留（Johannes Hevelius）創立。在古代希臘文獻中，獵犬座的星被描繪為牧夫扛的棒子。後來被阿拉伯人翻譯為鉤子，或牧人的帶鉤牧杖。再翻譯到西歐文字誤成了狗，最終被赫維留定成一個獨立的星座。獵犬座包含中國古代的星座“常陳”。《晉書·天文誌》記載：“常陳七星如畢狀，在帝座北，天子宿衛武賁之士，以設疆禦。”,1687年にヨハネス?ヘヴェリウスによって設定された。ヘヴェリウスは星図の中で、北側の犬にギリシャ語で「小さな星」を意味するアステリオンと、南側の犬にギリシャ語で「楽しみ」を意味するカラとそれぞれ名付けている。1533年に、ドイツのペトルス?アピアヌスが描いた星図にうしかい座に連れられた猟犬の絵が描かれているが、これは現在のりょうけん座の位置とは異なり、また特定の星と結び付けられたものではないため、りょうけん座の起源とは見做されていない。
LKComaBerenicesTitle,Coma Berenices,后发座,后髮座,かみのけ座
LKComaBerenicesLatin,Berenice's Hair,Coma Berenices,Coma Berenices,Coma Berenices
